"","lambda","YEAR","RECR_TPA","MORT_TPA","REMV_TPA","RECR_PERC","MORT_PERC","REMV_PERC","RECR_TPA_SE","MORT_TPA_SE","REMV_TPA_SE","RECR_PERC_SE","MORT_PERC_SE","REMV_PERC_SE","nPlots_TREE","nPlots_RECR","nPlots_MORT","nPlots_REMV","nPlots_AREA"
"140",0.35,2012,0,0.908929775767115,0.00297615987806853,0,5.56648478344837,0.0182266541553181,NA,12.4571124775311,107.390281412975,NA,12.5763381469278,12.6449587891287,587,0,288,1,3949
"141",0.4,2012,0,0.926099942300395,0.00273734077110508,0,5.60625524585131,0.0165708152616564,NA,12.0033556100073,107.389074018131,NA,11.9001708207332,11.9692722294373,587,0,288,1,3949
"142",0.45,2012,0,0.941878019282795,0.00250052448525698,0,5.63305083243385,0.0149547831511385,NA,11.5879512517082,107.387992317671,NA,11.2271750264165,11.2973790336079,587,0,288,1,3949
"143",0.5,2012,0,0.9550904955044,0.00226626903261969,0,5.63766749248497,0.0133772363085635,NA,11.2083993054951,107.387026151665,NA,10.5484846269794,10.6205155089777,587,0,288,1,3949
"144",0.55,2012,0,0.964364759838766,0.00203545495568525,0,5.61013103378016,0.0118411305455216,NA,10.863298481409,107.38616908331,NA,9.86009668802207,9.93478183679879,587,0,288,1,3949
"145",0.6,2012,0,0.968231452046577,0.00180940508792079,0,5.54076412790241,0.0103544320759303,NA,10.5513544910585,107.385418436834,NA,9.16370962756395,9.2419714021104,587,0,288,1,3949
"146",0.65,2012,0,0.96528720379504,0.00158996644096532,0,5.4217236860922,0.00893035635319967,NA,10.2707478285768,107.384775017188,NA,8.4676048972106,8.55043281782794,587,0,288,1,3949
"147",0.7,2012,0,0.954406778879831,0.00137950099947752,0,5.24875094470734,0.00758655254181094,NA,10.0188817600559,107.384242292128,NA,7.78714577493583,7.87553109757824,587,0,288,1,3949
"148",0.75,2012,0,0.934967426704601,0.00118074019765272,0,5.02262700679453,0.00634291359822117,NA,9.79246961042751,107.383824948246,NA,7.14431302092014,7.23912244656545,587,0,288,1,3949
"149",0.8,2012,0,0.907025326429346,0.000996494298427209,0,4.74973706909397,0.00521825110111652,NA,9.58787967426939,107.383526975019,NA,6.56569873598166,6.6674712858121,587,0,288,1,3949
"150",0.85,2012,0,0.871380851114698,0.000829265433807849,0,4.44136773765274,0.00422670837780436,NA,9.40163790668679,107.38334969315,NA,6.0786275794083,6.18731782659098,587,0,288,1,3949
"151",0.9,2012,0,0.829496693868402,0.000680864541686749,0,4.11185090363638,0.00337507491191132,NA,9.23098732920142,107.383290273542,NA,5.70568994028125,5.8204605715799,587,0,288,1,3949
"152",0.95,2012,0,0.78328309018048,0.000552144896662104,0,3.77615054697715,0.00266185020419735,NA,9.07441014451298,107.383341181197,NA,5.45905599608041,5.57828935432461,587,0,288,1,3949
"153",0.05,2013,0,1.14749136901967,0.0578749704087942,0,6.05697266494407,0.305489978586937,NA,16.5185197394693,78.8677110148536,NA,16.5424445734698,16.6539095877975,581,0,308,3,3946
"154",0.1,2013,0,1.13190694643589,0.0551635979763062,0,6.03083209890086,0.293913204096776,NA,15.928830748919,78.5830574724206,NA,15.8968431159229,16.0067593093471,581,0,308,3,3946
"155",0.15,2013,0,1.11765756325909,0.0524005916421882,0,6.00491158495797,0.281536071650851,NA,15.3148081190248,78.3025942971795,NA,15.2374125709821,15.3456808667569,581,0,308,3,3946
"156",0.2,2013,0,1.10489615458275,0.0495870248365671,0,5.98089929814347,0.268418892410794,NA,14.6775683092757,78.0262522819422,NA,14.5675376915407,14.674046728087,581,0,308,3,3946
"157",0.25,2013,0,1.09377387886934,0.0467244774883276,0,5.9601451117076,0.254608993210757,NA,14.0201560641342,77.7539672819189,NA,13.8902609562494,13.9948892478374,581,0,308,3,3946
"158",0.3,2013,0,1.08438951378977,0.0438151377526899,0,5.94335516213178,0.240143345016199,NA,13.3480080315998,77.4856791805714,NA,13.2079975230437,13.3106210721748,581,0,308,3,3946
"159",0.35,2013,0,1.07673247139217,0.0408620449616797,0,5.93023948033064,0.225052850839993,NA,12.6693244897704,77.2213311772877,NA,12.5223476821618,12.6228531581018,581,0,308,3,3946
"160",0.4,2013,0,1.07062249827672,0.0378695906201913,0,5.91913195306623,0.20936894587057,NA,11.9952176358616,76.9608693857518,NA,11.8340791144604,11.932381851269,581,0,308,3,3946
"161",0.45,2013,0,1.06565261610866,0.0348444061057725,0,5.90663819385021,0.193133575459076,NA,11.3394841568522,76.7042427266283,NA,11.1433833821063,11.239448260024,581,0,308,3,3946
"162",0.5,2013,0,1.06114651067267,0.0317967134453138,0,5.88741563180179,0.176413403705389,NA,10.7178607601674,76.4514030606297,NA,10.4505155407902,10.5443774043483,581,0,308,3,3946
"163",0.55,2013,0,1.05614645605735,0.0287420663018162,0,5.85423869699048,0.159317787614127,NA,10.146688674344,76.2023054409499,NA,9.75687760345045,9.84865637997591,581,0,308,3,3946
"164",0.6,2013,0,1.04945058738082,0.025703156442833,0,5.79852003089959,0.142017422528755,NA,9.64105711828099,75.9569082849046,NA,9.06648425980644,9.15638846800892,581,0,308,3,3946
"165",0.65,2013,0,1.03971499410741,0.0227110633163902,0,5.7113992533078,0.124757217893557,NA,9.21271041080723,75.7151732116607,NA,8.38755057734938,8.47586157037619,581,0,308,3,3946
"166",0.7,2013,0,1.02562271898811,0.0198051267662628,0,5.58533578923096,0.107854751352428,NA,8.86822222859398,75.4770643205079,NA,7.7337059995303,7.82073471178662,581,0,308,3,3946
"167",0.75,2013,0,1.00609795840325,0.0170307312148455,0,5.41587563589456,0.091677278020061,NA,8.60802434992964,75.2425468353584,NA,7.12416079122222,7.21017130548527,581,0,308,3,3946
"168",0.8,2013,0,0.980517021296973,0.0144348430357359,0,5.20303303714897,0.0765973089397762,NA,8.42668838722165,75.0115853000376,NA,6.58216142653185,6.66726651423946,581,0,308,3,3946
"169",0.85,2013,0,0.948853043791492,0.0120600320929137,0,4.95172602586455,0.0629370113506909,NA,8.31441510710207,74.7841417684822,NA,6.13140594372976,6.21546408911249,581,0,308,3,3946
"170",0.9,2013,0,0.911703288748302,0.00993851129811099,0,4.67102116829966,0.0509189746574206,NA,8.25922481305671,74.5601745355565,NA,5.79086335628851,5.87343705647592,581,0,308,3,3946
"171",0.95,2013,0,0.870186334611658,0.00808792970064766,0,4.37243499474367,0.040639510701947,NA,8.24914816662717,74.3396378020168,NA,5.56958905800398,5.65002461922543,581,0,308,3,3946
"172",0.05,2014,0,0.820446045195375,0.119859199240125,0,4.85639572552655,0.70947225142168,NA,16.8666524270558,52.6645532271377,NA,16.5299382881083,16.556951977558,578,0,338,8,3952
"173",0.1,2014,0,0.836011415299249,0.116312665148243,0,4.92233724071132,0.684835341656964,NA,15.7939588880582,51.5049897669881,NA,15.649633373728,15.6752926176962,578,0,338,8,3952
"174",0.15,2014,0,0.850123310628816,0.112500655679631,0,4.98330744106698,0.659463571418291,NA,14.8450459247762,50.4571657297455,NA,14.83387933685,14.8586841257418,578,0,338,8,3952
"175",0.2,2014,0,0.863026124154255,0.108411948889509,0,5.04017843939004,0.633139081277093,NA,13.9927198545888,49.5133115283541,NA,14.0695237941751,14.0938809872029,578,0,338,8,3952
